glyph_group_id,visual_region,approximate_bbox,raw_visual_description,tentative_terms,primary_sound_type_candidate,right_hand_candidate,position_transition_candidate,special_technique_candidate,parse_confidence,needs_review_reason,user_decision,review_status
LXY-P01-S1-G023,first_section_row_3,"[548, 416, 580, 480]",Group under visible 3; 选-like ending form; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G024,first_section_row_4,"[142, 505, 180, 560]",Group under visible 3--; 盖-like lower form; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G025,first_section_row_4,"[235, 505, 280, 560]",Group under visible 56; 筠池-like complex form; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G026,first_section_row_4,"[290, 505, 335, 560]",Group under visible 5.6; 筠盖-like form; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G027,first_section_row_4,"[365, 505, 405, 560]",Group under visible 333; 蓬-like form; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G028,first_section_row_4,"[420, 505, 475, 560]",Group under visible 3332; 琴/镔-like composite; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G029,first_section_row_4,"[486, 505, 523, 560]",Group under visible 166; 芭/涟-like form; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G030,first_section_row_4,"[530, 505, 575, 560]",Group under visible 661; 胥/蓝-like dense composite; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G031,first_section_row_5,"[135, 585, 170, 645]",Group under visible 2; 勾-like lower hook form visible.,勾,sounding_candidate,勾,,,low,LOW_CONFIDENCE_VISUAL_MATCH_NEEDS_HUMAN_REVIEW,,needs_review
LXY-P01-S1-G032,first_section_row_5,"[185, 585, 225, 645]",Group under visible 03; 肖益-like or side-note-like composite; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G033,first_section_row_5,"[240, 585, 280, 645]",Group under visible 5.3; 集旨-like composite; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G034,first_section_row_5,"[295, 585, 335, 645]",Group under visible 21; 下-like component and following composite visible.,下,motion_or_transition_candidate,,下,,low,LOW_CONFIDENCE_VISUAL_MATCH_NEEDS_HUMAN_REVIEW,,needs_review
LXY-P01-S1-G035,first_section_row_5,"[370, 585, 415, 645]",Group under visible 1; 易/箕-like composite after vertical divider; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G036,first_section_row_5,"[480, 585, 525, 645]",Group under visible 5.6 before 二段 marker; 筠勾-like form.,勾,sounding_candidate,勾,,,low,LOW_CONFIDENCE_VISUAL_MATCH_NEEDS_HUMAN_REVIEW,,needs_review
LXY-P01-S1-G037,first_section_row_5,"[540, 585, 575, 645]",Group under visible 1 before 二段 marker; 勾-like lower form.,勾,sounding_candidate,勾,,,low,LOW_CONFIDENCE_VISUAL_MATCH_NEEDS_HUMAN_REVIEW,,needs_review
LXY-P01-S1-G038,first_section_row_6,"[140, 660, 170, 720]",Lower first-section continuation group under visible 1; 箕-like form; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G039,first_section_row_6,"[185, 660, 230, 720]",Lower first-section continuation group under visible 11; paired 各/并-like components; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G040,first_section_row_6,"[240, 660, 285, 720]",Lower first-section continuation group under visible 5.6; 筠勾-like form.,勾,sounding_candidate,勾,,,low,LOW_CONFIDENCE_VISUAL_MATCH_NEEDS_HUMAN_REVIEW,,needs_review
LXY-P01-S1-G041,first_section_row_6,"[300, 660, 335, 720]",Lower first-section continuation group under visible 1; 勾/匂-like form.,勾,sounding_candidate,勾,,,low,LOW_CONFIDENCE_VISUAL_MATCH_NEEDS_HUMAN_REVIEW,,needs_review
LXY-P01-S1-G042,first_section_row_6,"[370, 660, 410, 720]",Final first-section continuation group under visible 1--; 箕-like form with punctuation/dot; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
