phrase_id,phrase_order,event_order_in_phrase,global_event_order,event_id,event_label 或 Pxx/Nxx,gesture_id,normalized_name,primary_sound_type,realization_variant,A_LITERAL_recording_take_no,B_PHRASE_recording_take_no,C_QINIST_STYLE_recording_take_no,D_TEACHING_DIAGNOSTIC_recording_take_no,A_LITERAL_source_split_audio,B_PHRASE_source_split_audio,C_QINIST_STYLE_source_split_audio,D_TEACHING_DIAGNOSTIC_source_split_audio,notes
XWC_P03_LOCAL_PHRASE,3,5,15,XWC_P03_N05,XWC_P03_N05,SAN_TIAO_6,散挑六,散音,clean,T019,T019,T019,T019,clean_previews/T019_clean_preview.wav,clean_previews/T019_clean_preview.wav,clean_previews/T019_clean_preview.wav,clean_previews/T019_clean_preview.wav,
XWC_P03_LOCAL_PHRASE,3,6,16,XWC_P03_N06,XWC_P03_N06,AN_THUMB_9_GOU_3,大九勾三,按音,clean,T020,T021,T021,T020,clean_previews/T020_clean_preview.wav,clean_previews/T021_clean_preview.wav,clean_previews/T021_clean_preview.wav,clean_previews/T020_clean_preview.wav,谱面未明示绰；三曼默认可优先 chuo realization
XWC_P04_LOCAL_PHRASE,4,1,17,XWC_P04_N01,XWC_P04_N01,SAN_TIAO_5,散挑五,散音,clean,T022,T022,T022,T022,clean_previews/T022_clean_preview.wav,clean_previews/T022_clean_preview.wav,clean_previews/T022_clean_preview.wav,clean_previews/T022_clean_preview.wav,
XWC_P04_LOCAL_PHRASE,4,2,18,XWC_P04_N02,XWC_P04_N02,SAN_GOU_3,散勾三,散音,clean,T023,T023,T023,T023,clean_previews/T023_clean_preview.wav,clean_previews/T023_clean_preview.wav,clean_previews/T023_clean_preview.wav,clean_previews/T023_clean_preview.wav,
XWC_P04_LOCAL_PHRASE,4,3,19,XWC_P04_N03,XWC_P04_N03,SAN_TIAO_4,散挑四,散音,clean,T024,T024,T024,T024,clean_previews/T024_clean_preview.wav,clean_previews/T024_clean_preview.wav,clean_previews/T024_clean_preview.wav,clean_previews/T024_clean_preview.wav,
XWC_P04_LOCAL_PHRASE,4,4,20,XWC_P04_N04,XWC_P04_N04,AN_RING_10_GOU_2,名十勾二,按音,clean,T025,T025,T026,T025,clean_previews/T025_clean_preview.wav,clean_previews/T025_clean_preview.wav,clean_previews/T026_clean_preview.wav,clean_previews/T025_clean_preview.wav,谱面未明示绰；三曼默认可优先 chuo realization
XWC_P04_LOCAL_PHRASE,4,5,21,XWC_P04_N05,XWC_P04_N05,SAN_TIAO_5,散挑五,散音,clean,T027,T027,T027,T027,clean_previews/T027_clean_preview.wav,clean_previews/T027_clean_preview.wav,clean_previews/T027_clean_preview.wav,clean_previews/T027_clean_preview.wav,
XWC_P04_LOCAL_PHRASE,4,6,22,XWC_P04_N06,XWC_P04_N06,AN_THUMB_9_GOU_2,大九勾二,按音,clean,T028,T029,T029,T028,clean_previews/T028_clean_preview.wav,clean_previews/T029_clean_preview.wav,clean_previews/T029_clean_preview.wav,clean_previews/T028_clean_preview.wav,谱面未明示绰；三曼默认可优先 chuo realization
XWC_P05_LOCAL_PHRASE,5,1,23,XWC_P05_N01,XWC_P05_N01,SAN_TIAO_4,散挑四,散音,clean,T030,T030,T030,T030,clean_previews/T030_clean_preview.wav,clean_previews/T030_clean_preview.wav,clean_previews/T030_clean_preview.wav,clean_previews/T030_clean_preview.wav,
XWC_P05_LOCAL_PHRASE,5,2,24,XWC_P05_N02,XWC_P05_N02,SAN_GOU_2,散勾二,散音,clean,T031,T031,T031,T031,clean_previews/T031_clean_preview.wav,clean_previews/T031_clean_preview.wav,clean_previews/T031_clean_preview.wav,clean_previews/T031_clean_preview.wav,
XWC_P05_LOCAL_PHRASE,5,3,25,XWC_P05_N03,XWC_P05_N03,SAN_TIAO_3,散挑三,散音,clean,T032,T032,T032,T032,clean_previews/T032_clean_preview.wav,clean_previews/T032_clean_preview.wav,clean_previews/T032_clean_preview.wav,clean_previews/T032_clean_preview.wav,
XWC_P05_LOCAL_PHRASE,5,4,26,XWC_P05_N04,XWC_P05_N04,AN_RING_10_GOU_1,名十勾一,按音,clean,T033,T033,T034,T033,clean_previews/T033_clean_preview.wav,clean_previews/T033_clean_preview.wav,clean_previews/T034_clean_preview.wav,clean_previews/T033_clean_preview.wav,谱面未明示绰；三曼默认可优先 chuo realization
XWC_P05_LOCAL_PHRASE,5,5,27,XWC_P05_N05,XWC_P05_N05,SAN_TIAO_4,散挑四,散音,clean,T035,T035,T035,T035,clean_previews/T035_clean_preview.wav,clean_previews/T035_clean_preview.wav,clean_previews/T035_clean_preview.wav,clean_previews/T035_clean_preview.wav,
XWC_P05_LOCAL_PHRASE,5,6,28,XWC_P05_N06,XWC_P05_N06,AN_THUMB_9_GOU_1,大九勾一,按音,clean,T036,T037,T037,T036,clean_previews/T036_clean_preview.wav,clean_previews/T037_clean_preview.wav,clean_previews/T037_clean_preview.wav,clean_previews/T036_clean_preview.wav,谱面未明示绰；三曼默认可优先 chuo realization
XWC_P06_LOCAL_PHRASE,6,1,29,XWC_P06_N01,XWC_P06_N01,SAN_TIAO_4,散挑四,散音,clean,T038,T038,T038,T038,clean_previews/T038_clean_preview.wav,clean_previews/T038_clean_preview.wav,clean_previews/T038_clean_preview.wav,clean_previews/T038_clean_preview.wav,
XWC_P06_LOCAL_PHRASE,6,2,30,XWC_P06_N02,XWC_P06_N02,AN_THUMB_9_GOU_1,大九勾一,按音,clean,T039,T039,T040,T039,clean_previews/T039_clean_preview.wav,clean_previews/T039_clean_preview.wav,clean_previews/T040_clean_preview.wav,clean_previews/T039_clean_preview.wav,谱面未明示绰；三曼默认可优先 chuo realization
XWC_P06_LOCAL_PHRASE,6,3,31,XWC_P06_N03,XWC_P06_N03,SAN_TIAO_5,散挑五,散音,clean,T041,T041,T041,T041,clean_previews/T041_clean_preview.wav,clean_previews/T041_clean_preview.wav,clean_previews/T041_clean_preview.wav,clean_previews/T041_clean_preview.wav,
XWC_P06_LOCAL_PHRASE,6,4,32,XWC_P06_N04,XWC_P06_N04,AN_THUMB_9_GOU_2,大九勾二,按音,clean,T042,T043,T043,T042,clean_previews/T042_clean_preview.wav,clean_previews/T043_clean_preview.wav,clean_previews/T043_clean_preview.wav,clean_previews/T042_clean_preview.wav,谱面未明示绰；三曼默认可优先 chuo realization
XWC_P07_LOCAL_PHRASE,7,1,33,XWC_P07_N01,XWC_P07_N01,SAN_TIAO_6,散挑六,散音,clean,T044,T044,T044,T044,clean_previews/T044_clean_preview.wav,clean_previews/T044_clean_preview.wav,clean_previews/T044_clean_preview.wav,clean_previews/T044_clean_preview.wav,
XWC_P07_LOCAL_PHRASE,7,2,34,XWC_P07_N02,XWC_P07_N02,AN_THUMB_9_GOU_3,大九勾三,按音,clean,T045,T045,T046,T045,clean_previews/T045_clean_preview.wav,clean_previews/T045_clean_preview.wav,clean_previews/T046_clean_preview.wav,clean_previews/T045_clean_preview.wav,谱面未明示绰；三曼默认可优先 chuo realization
XWC_P07_LOCAL_PHRASE,7,3,35,XWC_P07_N03,XWC_P07_N03,SAN_TIAO_7,散挑七,散音,clean,T047,T047,T047,T047,clean_previews/T047_clean_preview.wav,clean_previews/T047_clean_preview.wav,clean_previews/T047_clean_preview.wav,clean_previews/T047_clean_preview.wav,
XWC_P07_LOCAL_PHRASE,7,4,36,XWC_P07_N04,XWC_P07_N04,AN_THUMB_9_GOU_4,大九勾四,按音,clean,T048,T049,T049,T048,clean_previews/T048_clean_preview.wav,clean_previews/T049_clean_preview.wav,clean_previews/T049_clean_preview.wav,clean_previews/T048_clean_preview.wav,谱面未明示绰；三曼默认可优先 chuo realization
XWC_P08_LOCAL_PHRASE,8,1,37,XWC_P08_N01,XWC_P08_N01,AN_THUMB_9_GOU_5,大九勾五,按音,clean,T050,T050,T051,T050,clean_previews/T050_clean_preview.wav,clean_previews/T050_clean_preview.wav,clean_previews/T051_clean_preview.wav,clean_previews/T050_clean_preview.wav,谱面未明示绰；三曼默认可优先 chuo realization
XWC_P08_LOCAL_PHRASE,8,2,38,XWC_P08_N02,XWC_P08_N02,AN_THUMB_9_GOU_6_SHANG_79,大九勾六上七九,按音,clean,T052,T052,T053,T052,clean_previews/T052_clean_preview.wav,clean_previews/T052_clean_preview.wav,clean_previews/T053_clean_preview.wav,clean_previews/T052_clean_preview.wav,上七九为谱面明示实音拖音；默认可优先 chuo realization
XWC_P08_LOCAL_PHRASE,8,3,39,XWC_P08_N03,XWC_P08_N03,SAN_TIAO_7,散挑七,散音,clean,T054,T054,T054,T054,clean_previews/T054_clean_preview.wav,clean_previews/T054_clean_preview.wav,clean_previews/T054_clean_preview.wav,clean_previews/T054_clean_preview.wav,
XWC_P08_LOCAL_PHRASE,8,4,40,XWC_P08_N04,XWC_P08_N04,AN_THUMB_9_GOU_4,大九勾四,按音,clean,T055,T056,T056,T055,clean_previews/T055_clean_preview.wav,clean_previews/T056_clean_preview.wav,clean_previews/T056_clean_preview.wav,clean_previews/T055_clean_preview.wav,谱面未明示绰；三曼默认可优先 chuo realization
XWC_P09_LOCAL_PHRASE,9,1,41,XWC_P09_N01,XWC_P09_N01,AN_THUMB_9_GOU_4_ZHUANG,大九勾四撞,按音,clean,T057,T057,T058,T057,clean_previews/T057_clean_preview.wav,clean_previews/T057_clean_preview.wav,clean_previews/T058_clean_preview.wav,clean_previews/T057_clean_preview.wav,谱面明示注与撞；渲染优先 zhu realization
XWC_P09_LOCAL_PHRASE,9,2,42,XWC_P09_N02,XWC_P09_N02,AN_RING_10_QIAQI,名十掐起,按音,clean,T059,T060,T071,T060,clean_previews/T059_clean_preview.wav,clean_previews/T060_clean_preview.wav,clean_previews/T071_clean_preview.wav,clean_previews/T060_clean_preview.wav,左手发音，需上下文采样
XWC_P09_LOCAL_PHRASE,9,3,43,XWC_P09_N03,XWC_P09_N03,SAN_TIAO_6,散挑六,散音,clean,T061,T061,T061,T061,clean_previews/T061_clean_preview.wav,clean_previews/T061_clean_preview.wav,clean_previews/T061_clean_preview.wav,clean_previews/T061_clean_preview.wav,
XWC_P09_LOCAL_PHRASE,9,4,44,XWC_P09_N04,XWC_P09_N04,AN_RING_10_GOU_4,名十勾四,按音,clean,T062,T063,T063,T062,clean_previews/T062_clean_preview.wav,clean_previews/T063_clean_preview.wav,clean_previews/T063_clean_preview.wav,clean_previews/T062_clean_preview.wav,谱面未明示绰；三曼默认可优先 chuo realization
XWC_P10_LOCAL_PHRASE,10,1,45,XWC_P10_N01,XWC_P10_N01,FAN_SHI_7_GOU_4,泛食七勾四,泛音,clean,T064,T064,T064,T064,clean_previews/T064_clean_preview.wav,clean_previews/T064_clean_preview.wav,clean_previews/T064_clean_preview.wav,clean_previews/T064_clean_preview.wav,
XWC_P10_LOCAL_PHRASE,10,2,46,XWC_P10_N02,XWC_P10_N02,FAN_SHI_7_TIAO_7,泛食七挑七,泛音,clean,T065,T065,T065,T065,clean_previews/T065_clean_preview.wav,clean_previews/T065_clean_preview.wav,clean_previews/T065_clean_preview.wav,clean_previews/T065_clean_preview.wav,
XWC_P10_LOCAL_PHRASE,10,3,47,XWC_P10_N03,XWC_P10_N03,FAN_SHI_7_TIAO_6,泛食七挑六,泛音,clean,T066,T066,T066,T066,clean_previews/T066_clean_preview.wav,clean_previews/T066_clean_preview.wav,clean_previews/T066_clean_preview.wav,clean_previews/T066_clean_preview.wav,
XWC_P10_LOCAL_PHRASE,10,4,48,XWC_P10_N04,XWC_P10_N04,FAN_SHI_7_TIAO_4,泛食七挑四,泛音,clean,T067,T067,T067,T067,clean_previews/T067_clean_preview.wav,clean_previews/T067_clean_preview.wav,clean_previews/T067_clean_preview.wav,clean_previews/T067_clean_preview.wav,
XWC_P10_LOCAL_PHRASE,10,5,49,XWC_P10_N05,XWC_P10_N05,FAN_ZHONG_7_GOU_1,泛中七勾一,泛音,clean,T068,T068,T068,T068,clean_previews/T068_clean_preview.wav,clean_previews/T068_clean_preview.wav,clean_previews/T068_clean_preview.wav,clean_previews/T068_clean_preview.wav,
XWC_P10_LOCAL_PHRASE,10,6,50,XWC_P10_N06,XWC_P10_N06,FAN_DA_7_BO_6,泛大七擘六,泛音,clean,T069,T069,T069,T069,clean_previews/T069_clean_preview.wav,clean_previews/T069_clean_preview.wav,clean_previews/T069_clean_preview.wav,clean_previews/T069_clean_preview.wav,bo=擘
XWC_P10_LOCAL_PHRASE,10,7,51,XWC_P10_N07,XWC_P10_N07,FAN_DA7_ZHONG7_CUO_6_1,泛大七中七撮六一,泛音,clean,T070,T070,T070,T070,clean_previews/T070_clean_preview.wav,clean_previews/T070_clean_preview.wav,clean_previews/T070_clean_preview.wav,clean_previews/T070_clean_preview.wav,复合泛音撮音；primary_sound_type仍为泛音
