review_id,render_set_id,phrase_id,section_id,event_range,active_version_id,preferred_version_id,quick_judgement,issue_type,severity,comment,suggested_revision,review_status,gpt_review_pending,e_revision_plan_generated,e_generated,experimental_render,review_only,production_grade
R2_REVIEW_XWC_P06_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P06_LOCAL_PHRASE,XWC_P06,XWC_P06_N01_to_XWC_P06_N04,B_PHRASE,B_PHRASE,,[],low,同第1句,同第1句,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P06_LOCAL_PHRASE_A_LITERAL,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P06_LOCAL_PHRASE,XWC_P06,XWC_P06_N01_to_XWC_P06_N04,A_LITERAL,B_PHRASE,,[],low,,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P07_LOCAL_PHRASE_A_LITERAL,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P07_LOCAL_PHRASE,XWC_P07,XWC_P07_N01_to_XWC_P07_N04,A_LITERAL,B_PHRASE,,[],low,,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P01_LOCAL_PHRASE_A_LITERAL,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P01_LOCAL_PHRASE,XWC_P01,XWC_P01_N01_to_XWC_P01_N04,A_LITERAL,C_QINIST_STYLE,,[],low,,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P02_LOCAL_PHRASE_A_LITERAL,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P02_LOCAL_PHRASE,XWC_P02,XWC_P02_N01_to_XWC_P02_N06,A_LITERAL,C_QINIST_STYLE,,[],low,,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P06_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P06_LOCAL_PHRASE,XWC_P06,XWC_P06_N01_to_XWC_P06_N04,C_QINIST_STYLE,B_PHRASE,,[],low,,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P07_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P07_LOCAL_PHRASE,XWC_P07,XWC_P07_N01_to_XWC_P07_N04,C_QINIST_STYLE,B_PHRASE,,[],low,,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P07_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P07_LOCAL_PHRASE,XWC_P07,XWC_P07_N01_to_XWC_P07_N04,B_PHRASE,B_PHRASE,,[],low,同第1句,同第1句,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P08_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P08_LOCAL_PHRASE,XWC_P08,XWC_P08_N01_to_XWC_P08_N04,C_QINIST_STYLE,B_PHRASE,,[],low,,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P08_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P08_LOCAL_PHRASE,XWC_P08,XWC_P08_N01_to_XWC_P08_N04,B_PHRASE,B_PHRASE,,[],low,同第1句,同第1句,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P09_LOCAL_PHRASE,XWC_P09,XWC_P09_N01_to_XWC_P09_N04,B_PHRASE,A_LITERAL,,"[""context_take_overused""]",high,带上下文的掐起不能和上下文放一起，这样不就有2个上下文的音了吗？,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P09_LOCAL_PHRASE,XWC_P09,XWC_P09_N01_to_XWC_P09_N04,C_QINIST_STYLE,A_LITERAL,,"[""context_take_overused""]",high,带上下文的掐起不能和上下文放一起，这样不就有2个上下文的音了吗？,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_D_TEACHING_DIAGNOSTIC,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P09_LOCAL_PHRASE,XWC_P09,XWC_P09_N01_to_XWC_P09_N04,D_TEACHING_DIAGNOSTIC,A_LITERAL,,"[""context_take_overused""]",high,,带上下文的掐起不能和上下文放一起，这样不就有2个上下文的音了吗？,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_A_LITERAL,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P09_LOCAL_PHRASE,XWC_P09,XWC_P09_N01_to_XWC_P09_N04,A_LITERAL,A_LITERAL,,[],low,,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P10_LOCAL_PHRASE_A_LITERAL,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P10_LOCAL_PHRASE,XWC_P10,XWC_P10_N01_to_XWC_P10_N07,A_LITERAL,A_LITERAL,,[],low,,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P08_LOCAL_PHRASE_A_LITERAL,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P08_LOCAL_PHRASE,XWC_P08,XWC_P08_N01_to_XWC_P08_N04,A_LITERAL,B_PHRASE,,[],low,,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P01_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P01_LOCAL_PHRASE,XWC_P01,XWC_P01_N01_to_XWC_P01_N04,B_PHRASE,C_QINIST_STYLE,,[],low,,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P10_LOCAL_PHRASE_D_TEACHING_DIAGNOSTIC,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P10_LOCAL_PHRASE,XWC_P10,XWC_P10_N01_to_XWC_P10_N07,D_TEACHING_DIAGNOSTIC,A_LITERAL,,[],low,前几个音节拍可以紧凑一点，最后3个音慢,比如1234——5——6——7这种节奏,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P01_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P01_LOCAL_PHRASE,XWC_P01,XWC_P01_N01_to_XWC_P01_N04,C_QINIST_STYLE,C_QINIST_STYLE,usable,"[""phrase_unclear""]",medium,试试其它节拍,123——4——,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P02_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P02_LOCAL_PHRASE,XWC_P02,XWC_P02_N01_to_XWC_P02_N06,C_QINIST_STYLE,C_QINIST_STYLE,usable,"[""phrase_unclear""]",medium,试试其它节拍,12345——6——,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P03_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P03_LOCAL_PHRASE,XWC_P03,XWC_P03_N01_to_XWC_P03_N06,C_QINIST_STYLE,C_QINIST_STYLE,,[],low,同第2句,同第2句,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P04_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P04_LOCAL_PHRASE,XWC_P04,XWC_P04_N01_to_XWC_P04_N06,C_QINIST_STYLE,C_QINIST_STYLE,,[],low,同第2句,同第2句,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P05_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P05_LOCAL_PHRASE,XWC_P05,XWC_P05_N01_to_XWC_P05_N06,C_QINIST_STYLE,C_QINIST_STYLE,,[],low,同第2句,同第2句,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P06_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P06_LOCAL_PHRASE,XWC_P06,XWC_P06_N01_to_XWC_P06_N04,C_QINIST_STYLE,B_PHRASE,,[],low,同第1句,同第1句,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P07_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P07_LOCAL_PHRASE,XWC_P07,XWC_P07_N01_to_XWC_P07_N04,C_QINIST_STYLE,B_PHRASE,,[],low,同第1句,同第1句,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P08_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P08_LOCAL_PHRASE,XWC_P08,XWC_P08_N01_to_XWC_P08_N04,C_QINIST_STYLE,B_PHRASE,,[],low,同第1句,同第1句,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P08_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P08_LOCAL_PHRASE,XWC_P08,XWC_P08_N01_to_XWC_P08_N04,B_PHRASE,B_PHRASE,,[],low,同第1句,同第1句,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P07_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P07_LOCAL_PHRASE,XWC_P07,XWC_P07_N01_to_XWC_P07_N04,B_PHRASE,B_PHRASE,,[],low,同第1句,同第1句,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P09_LOCAL_PHRASE,XWC_P09,XWC_P09_N01_to_XWC_P09_N04,B_PHRASE,A_LITERAL,,"[""context_take_overused""]",high,把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_A_LITERAL,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P09_LOCAL_PHRASE,XWC_P09,XWC_P09_N01_to_XWC_P09_N04,A_LITERAL,A_LITERAL,,[],low,,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P09_LOCAL_PHRASE,XWC_P09,XWC_P09_N01_to_XWC_P09_N04,C_QINIST_STYLE,A_LITERAL,,"[""context_take_overused""]",high,把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_D_TEACHING_DIAGNOSTIC,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P09_LOCAL_PHRASE,XWC_P09,XWC_P09_N01_to_XWC_P09_N04,D_TEACHING_DIAGNOSTIC,A_LITERAL,,"[""context_take_overused""]",high,把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？,把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？,draft,true,false,false,true,true,false
