case_id,fixture_file,fixture_class,case_family,production_rule_ids,input_lexical_pattern,normalization_mode,context_mode,expected_parse_status,expected_candidate_policy,expected_primary_rule_ids,expected_guard_actions,expected_rank_order,expected_consumed_token_assertion,expected_unconsumed_token_assertion,expected_sound_type_candidate,expected_sound_type_resolution_status,surface_assertion_scope,invalid_matrix_case_refs,oracle_free,p1c_implementation_required,authority_boundary,notes
P1B-ABS-011,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,RH_ACTION_PLUS_STRING_EXPLICIT_OPEN_STATE,PR-STATE-START;PR-RH-STRING,STATE_MARKER_COMPONENT RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,VALID_COMPLETE,ACCEPT_LOCAL_STATE_PLUS_SOUNDING_UNIT,PR-STATE-START;PR-RH-STRING,NOT_APPLICABLE,NONE,state;rh;num,NONE,散,RESOLVED,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,STATE_START_ALONE,true,true,P1B_DRAFT_NON_AUTHORITY,explicit_open_state
P1B-ABS-012,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,RH_ACTION_PLUS_STRING_EXPLICIT_CONTEXT,PR-RH-STRING-CONTEXT,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,EXPLICIT_CONTEXT,VALID_WITH_CONTEXT,ACCEPT_WITH_EXPLICIT_CONTEXT,PR-RH-STRING-CONTEXT,NOT_APPLICABLE,NONE,rh;num,NONE,按,RESOLVED,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,RH_ACTION_PLUS_STRING_EXPLICIT_CONTEXT,true,true,P1B_DRAFT_NON_AUTHORITY,explicit_context_only
P1B-ABS-013,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,CONTEXT_REQUIRED_BUT_MISSING,PR-RH-STRING-CONTEXT,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,CONTEXT_REQUIRED_MISSING,INCOMPLETE,REJECT_MISSING_DECLARED_CONTEXT,PR-RH-STRING-CONTEXT,NEEDS_CONTEXT,NONE,rh;num,NONE,None,CONTEXT_REQUIRED,NONE,CONTEXT_INHERITANCE_SOURCE_MISSING,true,true,P1B_DRAFT_NON_AUTHORITY,missing_context_is_incomplete
P1B-ABS-014,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,EXPLICIT_CONTEXT_INCOMPATIBLE,PR-RH-STRING-CONTEXT,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,EXPLICIT_CONTEXT,UNRESOLVED,REJECT_INCOMPATIBLE_CONTEXT_KEEP_REVIEW_ITEM,PR-RH-STRING-CONTEXT,FORCE_UNRESOLVED,NONE,rh;num,NONE,None,UNRESOLVED,NONE,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,incompatible_context_unresolved
P1B-ABS-015,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,IMPLICIT_HISTORY_REQUEST,PR-RH-STRING-CONTEXT,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,IMPLICIT_CONTEXT_REQUEST,UNSUPPORTED,REJECT_IMPLICIT_CONTEXT_SEARCH,PR-RH-STRING-CONTEXT,NEEDS_CONTEXT,NONE,rh;num,NONE,None,CONTEXT_REQUIRED,NONE,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,implicit_scan_forbidden
P1B-ABS-016,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,LF_HUI_RH_STRING_COMPLETE,PR-LF-HUI-RH-STRING,LEFT_FINGER_NAME_COMPONENT NUMERIC_COMPONENT RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,VALID_COMPLETE,ACCEPT_ONE_COMPLETE_PRESSED_UNIT,PR-LF-HUI-RH-STRING,NOT_APPLICABLE,NONE,lf;hui;rh;string,NONE,按,RESOLVED,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,LF_HUI_RH_STRING,true,true,P1B_DRAFT_NON_AUTHORITY,slot_roles_from_parse
P1B-ABS-017,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,RIGHT_HAND_ACTION_ALONE,PR-RH-STRING,RIGHT_HAND_ACTION_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,INCOMPLETE,REJECT_MISSING_STRING_SLOT,PR-RH-STRING,NEEDS_CONTEXT,NONE,rh,NONE,None,UNRESOLVED,NONE,RIGHT_HAND_ACTION_ALONE,true,true,P1B_DRAFT_NON_AUTHORITY,missing_string
P1B-ABS-018,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,NUMERIC_ALONE_AMBIGUOUS,NONE,NUMERIC_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,VALID_AMBIGUOUS,NO_ACCEPTED_SOUNDING_CANDIDATE,NONE,NOT_APPLICABLE,NONE,NONE,num,None,UNRESOLVED,NONE,STRING_NUMBER_ALONE;HUI_POSITION_ALONE,true,true,P1B_DRAFT_NON_AUTHORITY,numeric_not_pretyped
P1B-ABS-019,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,LEFT_FINGER_ALONE,PR-LF-HUI-RH-STRING,LEFT_FINGER_NAME_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,INCOMPLETE,REJECT_MISSING_HUI_RH_STRING,PR-LF-HUI-RH-STRING,NEEDS_CONTEXT,NONE,lf,NONE,None,UNRESOLVED,NONE,LEFT_FINGER_ALONE,true,true,P1B_DRAFT_NON_AUTHORITY,left_finger_fragment
P1B-ABS-020,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,LEFT_FINGER_PLUS_HUI_NO_RH,PR-LF-HUI-RH-STRING,LEFT_FINGER_NAME_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,INCOMPLETE,REJECT_MISSING_RH_AND_STRING,PR-LF-HUI-RH-STRING,NEEDS_CONTEXT,NONE,lf;hui,NONE,None,UNRESOLVED,NONE,LEFT_FINGER_PLUS_HUI_NO_RH,true,true,P1B_DRAFT_NON_AUTHORITY,no_sounding_attack
P1B-ABS-021,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,STRING_PLUS_RH_REVERSED,PR-RH-STRING,NUMERIC_COMPONENT RIGHT_HAND_ACTION_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,INVALID_ORDER,REJECT_ORDER,PR-RH-STRING,HARD_REJECT,NONE,NONE,num;rh,None,UNRESOLVED,NONE,STRING_PLUS_RH_REVERSED,true,true,P1B_DRAFT_NON_AUTHORITY,no_auto_reorder
P1B-ABS-022,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,TIMING_MARKER_MIXED_WITH_SOUNDING,PR-TIMING;PR-RH-STRING,TIMING_MARKER_COMPONENT RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,INVALID_TYPE_COMBINATION,REJECT_MARKER_SOUNDING_MIX,PR-TIMING;PR-RH-STRING,HARD_REJECT,NONE,NONE,timing;rh;num,None,UNRESOLVED,NONE,TIMING_MARKER_MIXED_WITH_SOUNDING,true,true,P1B_DRAFT_NON_AUTHORITY,marker_non_sounding
P1B-ABS-023,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,STATE_END_ALONE,PR-STATE-END,STATE_MARKER_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,VALID_COMPLETE,ACCEPT_NON_SOUNDING_MARKER,PR-STATE-END,NOT_APPLICABLE,NONE,state_end,NONE,None,RESOLVED,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,STATE_END_ALONE,true,true,P1B_DRAFT_NON_AUTHORITY,state_end_non_sounding
P1B-ABS-024,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,TIMING_MARKER_ALONE,PR-TIMING,TIMING_MARKER_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,VALID_COMPLETE,ACCEPT_NON_SOUNDING_MARKER,PR-TIMING,NOT_APPLICABLE,NONE,timing,NONE,None,RESOLVED,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,timing_non_sounding
P1B-ABS-025,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,PRE_SOUND_MOTION_WITH_HOST,PR-PRE-MOTION;PR-LF-HUI-RH-STRING,LEFT_HAND_ACTION_COMPONENT LEFT_FINGER_NAME_COMPONENT NUMERIC_COMPONENT RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,VALID_COMPLETE,ACCEPT_PRE_MOTION_ATTACHED_HOST,PR-PRE-MOTION;PR-LF-HUI-RH-STRING,NOT_APPLICABLE,NONE,motion;lf;hui;rh;string,NONE,按,RESOLVED,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,pre_motion_host
P1B-ABS-026,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,PRE_SOUND_MOTION_NO_HOST,PR-PRE-MOTION,LEFT_HAND_ACTION_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,INCOMPLETE,REJECT_MOTION_WITHOUT_HOST,PR-PRE-MOTION,NEEDS_CONTEXT,NONE,motion,NONE,None,UNRESOLVED,NONE,PRE_SOUND_MOTION_NO_HOST,true,true,P1B_DRAFT_NON_AUTHORITY,pre_motion_missing_host
P1B-ABS-027,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,POST_SOUND_MOTION_WITH_HOST,PR-POST-MOTION;PR-RH-STRING-CONTEXT,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT LEFT_HAND_ACTION_COMPONENT,ABSTRACT_PRIMARY,EXPLICIT_CONTEXT,VALID_WITH_CONTEXT,ACCEPT_POST_MOTION_ATTACHED_HOST,PR-POST-MOTION;PR-RH-STRING-CONTEXT,NOT_APPLICABLE,NONE,rh;num;motion,NONE,按,RESOLVED,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,post_motion_host
P1B-ABS-028,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,POST_SOUND_MOTION_NO_HOST,PR-POST-MOTION,LEFT_HAND_ACTION_COMPONENT,ABSTRACT_PRIMARY,IMPLICIT_CONTEXT_REQUEST,INCOMPLETE,REJECT_MOTION_WITHOUT_HOST,PR-POST-MOTION,NEEDS_CONTEXT,NONE,motion,NONE,None,UNRESOLVED,NONE,POST_SOUND_MOTION_NO_HOST,true,true,P1B_DRAFT_NON_AUTHORITY,post_motion_missing_host
P1B-ABS-029,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,GENERIC_MARKER_REGISTERED,PR-GENERIC-MARKER,GENERIC_MARKER_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,VALID_COMPLETE,ACCEPT_NON_SOUNDING_MARKER,PR-GENERIC-MARKER,NOT_APPLICABLE,NONE,mark,NONE,None,RESOLVED,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,generic_marker_whitelist
P1B-ABS-030,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,GENERIC_MARKER_UNREGISTERED,PR-GENERIC-MARKER,GENERIC_MARKER_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,UNSUPPORTED,REJECT_UNREGISTERED_GENERIC_MARKER,PR-GENERIC-MARKER,FORCE_UNRESOLVED,NONE,NONE,mark,None,UNRESOLVED,NONE,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,generic_marker_unregistered
P1B-ABS-031,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,GENERIC_MARKER_SUBTYPE_UNCLEAR,PR-GENERIC-MARKER,GENERIC_MARKER_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,UNRESOLVED,REVIEW_MARKER_BEHAVIOR,PR-GENERIC-MARKER,NEEDS_HUMAN_REVIEW,NONE,mark,NONE,None,UNRESOLVED,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,generic_marker_unclear
P1B-ABS-032,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,SPECIAL_TECHNIQUE_WITH_HOST,PR-SPECIAL-TECHNIQUE,SPECIAL_TECHNIQUE_COMPONENT,ABSTRACT_PRIMARY,EXPLICIT_CONTEXT,VALID_WITH_CONTEXT,ACCEPT_TECHNIQUE_WITH_REVIEWABLE_ATTACHMENT,PR-SPECIAL-TECHNIQUE,NEEDS_HUMAN_REVIEW,NONE,special,NONE,按,RESOLVED,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,special_with_host
P1B-ABS-033,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,SPECIAL_TECHNIQUE_ATTACHMENT_MISSING,PR-SPECIAL-TECHNIQUE,SPECIAL_TECHNIQUE_COMPONENT,ABSTRACT_PRIMARY,CONTEXT_REQUIRED_MISSING,INCOMPLETE,REJECT_TECHNIQUE_WITHOUT_REQUIRED_ATTACHMENT,PR-SPECIAL-TECHNIQUE,NEEDS_CONTEXT,NONE,special,NONE,None,CONTEXT_REQUIRED,NONE,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,special_missing_attachment
P1B-ABS-034,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,SPECIAL_TECHNIQUE_AS_FOURTH_SOUND_TYPE,PR-SPECIAL-TECHNIQUE,SPECIAL_TECHNIQUE_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,INVALID_TYPE_COMBINATION,REJECT_FOURTH_SOUND_TYPE,PR-SPECIAL-TECHNIQUE,HARD_REJECT,NONE,NONE,special,None,UNRESOLVED,NONE,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,sound_types_only_san_an_fan
P1B-ABS-035,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,SPECIAL_TECHNIQUE_SOUNDING_POLICY_UNCLEAR,PR-SPECIAL-TECHNIQUE,SPECIAL_TECHNIQUE_COMPONENT,ABSTRACT_PRIMARY,EXPLICIT_CONTEXT,UNRESOLVED,REVIEW_UNCLEAR_TECHNIQUE_POLICY,PR-SPECIAL-TECHNIQUE,NEEDS_HUMAN_REVIEW,NONE,special,NONE,散,UNRESOLVED,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,special_policy_unclear
P1B-ABS-036,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,UNKNOWN_COMPONENT_PRESENT,PR-UNKNOWN,UNKNOWN_COMPONENT,UNKNOWN_COMPONENT,NO_CONTEXT,UNRESOLVED,REVIEW_UNKNOWN_COMPONENT,PR-UNKNOWN,NOT_APPLICABLE,NONE,NONE,unk,None,UNRESOLVED,NONE,UNKNOWN_COMPONENT_PRESENT,true,true,P1B_DRAFT_NON_AUTHORITY,unknown_unresolved
P1B-ABS-037,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,UNSUPPORTED_SEQUENCE,PR-UNKNOWN,POSITION_COMPONENT GENERIC_MARKER_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,UNSUPPORTED,REJECT_OUT_OF_SCOPE_SEQUENCE,PR-UNKNOWN,FORCE_UNRESOLVED,NONE,NONE,pos;mark,None,UNRESOLVED,NONE,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,unsupported_scope
P1B-ABS-038,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,PR_UNKNOWN_FALLBACK_ONLY,PR-UNKNOWN,UNKNOWN_COMPONENT,UNKNOWN_COMPONENT,NO_CONTEXT,UNRESOLVED,REVIEW_ONLY_NO_ACCEPTED_CANDIDATE,PR-UNKNOWN,NOT_APPLICABLE,NONE,NONE,unk,None,UNRESOLVED,NONE,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,pr_unknown_fallback_only
P1B-ABS-039,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,MULTIPLE_RH_ACTION_SAME_SLOT,PR-RH-STRING,RIGHT_HAND_ACTION_COMPONENT RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,VALID_AMBIGUOUS,NO_ACCEPTED_SINGLE_SLOT_UNTIL_SPLIT_OR_COMPOUND_RULE,PR-RH-STRING,SOFT_PENALTY,NONE,NONE,rh1;rh2;num,None,AMBIGUOUS,NONE,MULTIPLE_RH_ACTION_SAME_SLOT,true,true,P1B_DRAFT_NON_AUTHORITY,multiple_rh_same_slot
P1B-ABS-040,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,MULTIPLE_STRING_NUMBERS_SAME_SLOT,PR-RH-STRING,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,VALID_AMBIGUOUS,NO_SINGLE_ACCEPTED_STRING_SLOT,PR-RH-STRING,NOT_APPLICABLE,NONE,NONE,rh;n1;n2,None,AMBIGUOUS,NONE,MULTIPLE_STRING_NUMBERS_SAME_SLOT,true,true,P1B_DRAFT_NON_AUTHORITY,multiple_numbers_same_slot
P1B-ABS-041,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,PARTIALLY_CONSUMED_SEQUENCE,PR-RH-STRING;PR-UNKNOWN,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT UNKNOWN_COMPONENT,ABSTRACT_PRIMARY;UNKNOWN_COMPONENT,NO_INHERITED_CONTEXT,UNRESOLVED,ACCEPT_LOCAL_CANDIDATE_ONLY_IF_UNCONSUMED_RECORDED,PR-RH-STRING;PR-UNKNOWN,FORCE_UNRESOLVED,NONE,rh;num,extra,散,RESOLVED,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,PARTIALLY_CONSUMED_SEQUENCE,true,true,P1B_DRAFT_NON_AUTHORITY,partial_consumption_recorded
P1B-ABS-042,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,UNNORMALIZED_LEGACY_ID,NONE,RIGHT_HAND_ACTION_COMPONENT,COMPONENT_ID_NORMALIZATION_GAP,NO_CONTEXT,COMPONENT_ID_NORMALIZATION_GAP,REJECT_BEFORE_GRAMMAR,NONE,HARD_REJECT,NONE,NONE,legacy,None,UNRESOLVED,NONE,UNNORMALIZED_LEGACY_ID,true,true,P1B_DRAFT_NON_AUTHORITY,normalization_gap
P1B-ABS-043,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,SCOPED_FORBIDDEN_GUARD_HIT,PR-RH-STRING,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,NO_INHERITED_CONTEXT,FORBIDDEN_GUARD_REJECTED,REJECT_SCOPED_FORBIDDEN_OUTPUT,PR-RH-STRING,HARD_REJECT,NONE,rh;num,NONE,散,RESOLVED,NONE,SCOPED_FORBIDDEN_GUARD_HIT,true,true,P1B_DRAFT_NON_AUTHORITY,scoped_guard_hit
P1B-REAL-001,p1b_sanitized_real_id_fixtures.v0.1.json,SANITIZED_REAL_ID,PRIMARY_V0_2_LF_HUI_RH_STRING,PR-LF-HUI-RH-STRING,LEFT_FINGER_NAME_COMPONENT NUMERIC_COMPONENT RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,NORMALIZED_V0_2_PRIMARY,NO_CONTEXT,VALID_COMPLETE,ACCEPT_ONE_COMPLETE_PRESSED_UNIT,PR-LF-HUI-RH-STRING,NOT_APPLICABLE,NONE,lf;hui;rh;string,NONE,按,RESOLVED,LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,primary_v0_2
P1B-REAL-002,p1b_sanitized_real_id_fixtures.v0.1.json,SANITIZED_REAL_ID,LEGACY_ALIAS_RH_STRING,PR-RH-STRING,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,NORMALIZED_FROM_LEGACY_ID,NO_CONTEXT,VALID_AMBIGUOUS,ACCEPT_N_BEST_AMBIGUOUS,PR-RH-STRING,NOT_APPLICABLE,NONE,rh;num,NONE,None,AMBIGUOUS,LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,legacy_alias_normalization
P1B-REAL-003,p1b_sanitized_real_id_fixtures.v0.1.json,SANITIZED_REAL_ID,SOURCE_V0_1_RH_STRING_WITH_CONTEXT,PR-RH-STRING-CONTEXT,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,NORMALIZED_FROM_SOURCE_V0_1_ID;NORMALIZED_V0_2_PRIMARY,EXPLICIT_CONTEXT,VALID_WITH_CONTEXT,ACCEPT_WITH_EXPLICIT_CONTEXT,PR-RH-STRING-CONTEXT,NOT_APPLICABLE,NONE,rh;num,NONE,按,RESOLVED,LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,source_v0_1_normalization
